"time","symbol","open","high","low","close","volume"
"2010-10-29 00:00:00+00","ZS.c.0","1225.5","1227","1214.25","1222.25",24143
"2010-10-31 00:00:00+00","ZS.c.0","1230.25","1232.75","1224.25","1232",3484
"2010-11-01 00:00:00+00","ZS.c.0","1232","1236.5","1218.5","1230.5",13989
"2010-11-02 00:00:00+00","ZS.c.0","1230.75","1232.75","1220.75","1224.75",11312
"2010-11-03 00:00:00+00","ZS.c.0","1224.25","1231.5","1212.5","1229.25",5512
"2010-11-04 00:00:00+00","ZS.c.0","1229.25","1270","1228.75","1269",5790
"2010-11-05 00:00:00+00","ZS.c.0","1269","1277.5","1261","1272",3895
"2010-11-08 00:00:00+00","ZS.c.0","1273.75","1278.5","1263.75","1263.75",3104
"2010-11-09 00:00:00+00","ZS.c.0","1263.5","1333.75","1262","1316.5",5090
"2010-11-10 00:00:00+00","ZS.c.0","1315.25","1319.5","1305","1308.25",3583
"2010-11-11 00:00:00+00","ZS.c.0","1310.75","1333","1309","1330.25",1393
"2010-11-12 00:00:00+00","ZS.c.0","1333.5","1337.75","1259.5","1261.5",829
"2010-11-15 00:00:00+00","ZS.c.0","1266","1307.5","1252.25","1288.25",113461
"2010-11-16 00:00:00+00","ZS.c.0","1286.25","1289.75","1216.5","1220",140107
"2010-11-18 00:00:00+00","ZS.c.0","1208.75","1245.5","1193.75","1242.75",79735
"2010-11-19 00:00:00+00","ZS.c.0","1244","1256","1200.5","1201.25",99974
"2010-11-22 00:00:00+00","ZS.c.0","1196","1223","1190","1221",79137
"2010-11-23 00:00:00+00","ZS.c.0","1225","1246.5","1201.5","1239.75",96527
"2010-11-24 00:00:00+00","ZS.c.0","1241.25","1258.25","1237","1252.25",62226
"2010-11-26 00:00:00+00","ZS.c.0","1257.25","1262.25","1235.75","1239",40976
"2010-11-29 00:00:00+00","ZS.c.0","1240","1248.5","1226.5","1235",64487
"2010-11-30 00:00:00+00","ZS.c.0","1238","1247.25","1227.75","1246.25",58212
"2010-12-01 00:00:00+00","ZS.c.0","1243","1284","1240.25","1282.25",87467
"2010-12-02 00:00:00+00","ZS.c.0","1282","1287","1273.75","1278",73663
"2010-12-03 00:00:00+00","ZS.c.0","1278","1301.5","1274","1300",98582
"2010-12-06 00:00:00+00","ZS.c.0","1304","1306.75","1280.25","1286.75",85072
"2010-12-07 00:00:00+00","ZS.c.0","1288.5","1303.25","1282.25","1285.75",100199
"2010-12-08 00:00:00+00","ZS.c.0","1283","1296.5","1266.5","1294.75",95452
"2010-12-09 00:00:00+00","ZS.c.0","1296","1299","1278.25","1279.25",65214
"2010-12-10 00:00:00+00","ZS.c.0","1283.25","1288.5","1267.75","1272.25",88011
"2010-12-13 00:00:00+00","ZS.c.0","1269.5","1304.75","1254","1300.75",94108
"2010-12-14 00:00:00+00","ZS.c.0","1300","1311.25","1292.5","1294.25",79795
"2010-12-15 00:00:00+00","ZS.c.0","1293","1314.75","1290.75","1295.75",120464
